"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","10","1","36.551861","0","0"
"/Game/Minigames/miniGame1/Mats/RedOff.RedOff","21","12","12","1","74.962044","0","12"
"/Game/Minigames/miniGame1/Mats/BlueOff.BlueOff","21","12","12","1","62.295311","0","0"
"/Game/Minigames/miniGame1/Mats/GreenButtonOff.GreenButtonOff","21","12","0","1","0.000000","0","0"
"/Game/Minigames/miniGame1/Mats/GreenButton.GreenButton","21","12","12","1","75.435463","0","12"
"/Game/Minigames/miniGame1/Mats/BlueOn.BlueOn","21","12","12","1","0.000000","0","12"
"/Game/Minigames/miniGame1/Mats/RedOn.RedOn","21","12","12","1","0.000000","0","12"
"/Game/Minigames/miniGame1/Mats/YellowOn.YellowOn","21","12","12","1","0.000000","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","24","2","86.507385","0","24"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","2.680783","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","6.853400","0","2"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","32","32","1","93.368385","0","32"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","478","478","1","2188.191406","0","478"
"/OpenXR/Devices/M_XRController.M_XRController","21","36","36","3","217.425323","0","36"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","21","36","36","1","206.592636","0","36"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","6","6","1","20.921148","0","6"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","4","1","6.604520","0","4"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","5.123586","0","2"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","12","12","1","68.489014","0","12"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","36","36","1","230.987244","0","36"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","36","36","1","223.814697","0","36"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","24","24","1","129.793381","0","24"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","4","4","1","17.281162","0","4"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","60","60","1","161.824127","0","60"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","4","1","14.427737","0","4"
"/ControlRig/M_Manip.M_Manip","21","4","4","1","12.565716","0","4"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","21","0","28","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","0","14","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","24","26","6","47.136814","0","26"
"/Game/Test_Build_1/TestCave/CartBase.CartBase","21","24","24","1","159.041138","0","24"
"/Game/Test_Build_1/TestCave/railMetal.railMetal","21","24","24","1","0.000000","0","24"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","2","2","1","5.575953","0","2"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","12","12","1","69.832596","0","12"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","21","24","24","1","147.090164","0","24"
"/Game/Minecart/CartBase.CartBase","21","12","12","1","0.000000","0","12"
"/Game/Test_Build_1/TestCave/railWood.railWood","21","24","24","1","159.270401","0","24"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","18","18","1","85.755600","0","18"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","132","132","1","359.828430","0","132"
"/Game/Test_Build_1/TestCave/CaveWalls.CaveWalls","21","24","24","1","145.405228","0","24"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","7.359521","0","2"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","4","1","17.936399","0","4"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","21","12","12","1","22.622208","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","21","18","18","1","38.741268","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","21","18","18","1","43.030464","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","21","12","12","1","26.309019","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","21","12","12","1","25.658606","0","12"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","7","7","1","6.038151","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","2","2","1","5.448819","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","36","36","1","170.146805","0","36"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","60","60","1","360.524994","0","60"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","21","52","148","6","85.270683","0","52"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","21","40","40","2","254.490295","0","40"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","148","148","6","588.316833","0","148"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","21","48","48","2","278.227783","0","48"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","21","52","52","6","109.758560","0","52"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","21","6","6","1","32.650345","0","6"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","21","6","6","1","29.794785","0","6"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","21","24","48","2","153.706406","0","24"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","21","52","148","6","60.934158","0","52"
"/InterchangeAssets/gltf/M_Default.M_Default","21","148","148","6","428.632416","0","148"
